group_id,id,label
WijkenEnBuurten,BU17730115,buitengebied olst
WijkenEnBuurten,BU16990620,peizermade
WijkenEnBuurten,BU16810907,verspreide huizen eeserveen
WijkenEnBuurten,BU03840221,oud diemen
WijkenEnBuurten,BU07721140,fellenoord
WijkenEnBuurten,BU01710400,ens kern
WijkenEnBuurten,BU19241301,achthuizen woonkern
WijkenEnBuurten,BU18951000,nieuwolda
WijkenEnBuurten,BU18950000,winschoten centrum
RegioS,GM0594,pijnacker
WijkenEnBuurten,BU02300205,’t harde zuid
WijkenEnBuurten,WK039609,wijk 09 hoogdorp en waterakkers
Wijken,WK039609,wijk 09 hoogdorp en waterakkers
RegioS,GM0759,budel
RegioS,GM0176,ootmarsum
WijkenEnBuurten,BU03179997,groot binnenwater
WijkenEnBuurten,BU05050704,van ewijckstraat en omgeving
WijkenEnBuurten,BU17420401,industrieterrein de haar
WijkenEnBuurten,BU01094042,verspreide huizen sleen
WijkenEnBuurten,BU02810107,industrieterrein medel
WijkenEnBuurten,BU02810107,verspreide huizen passewaaij
WijkenEnBuurten,BU00560009,verspreide huizen zuidhorn
WijkenEnBuurten,BU02690106,verspreide huizen duivendans
WijkenEnBuurten,BU17350700,industrieterrein delden
WijkenEnBuurten,BU19822217,bedrijventerrein saxa gotha
WijkenEnBuurten,BU04519500,veenweidegebied
WijkenEnBuurten,BU01500502,platvoet
WijkenEnBuurten,WK168185,buinen
Wijken,WK168185,buinen
WijkenEnBuurten,BU05900501,oostdonk
WijkenEnBuurten,BU05184420,de vissen
WijkenEnBuurten,WK067712,wijk 12 hengstdijk
WijkenEnBuurten,WK067712,hengstdijk
Wijken,WK067712,wijk 12 hengstdijk
Wijken,WK067712,hengstdijk
WijkenEnBuurten,BU19791674,garrelsweer
WijkenEnBuurten,BU17090909,verspreide huizen willemstad
WijkenEnBuurten,BU02410006,berg en dal
WijkenEnBuurten,BU19780103,arkel industriegebied west
WijkenEnBuurten,BU09940203,strucht
WijkenEnBuurten,BU09940203,walem
WijkenEnBuurten,BU02741203,dreyeroord
WijkenEnBuurten,BU01601106,verspreide huizen dedemsvaart
WijkenEnBuurten,BU03810201,dondersstraat
WijkenEnBuurten,BU04891227,smitshoek 2
WijkenEnBuurten,BU19781406,noordeloos dorp
WijkenEnBuurten,WK165205,wijk 05 elsendorp
WijkenEnBuurten,WK165205,wijk 05 milheeze
Wijken,WK165205,wijk 05 elsendorp
Wijken,WK165205,wijk 05 milheeze
WijkenEnBuurten,WK172300,wijk 00 alphen
WijkenEnBuurten,WK192132,wijk 32 ouwsterhaule
WijkenEnBuurten,WK0363FL,slotervaart noord
Wijken,WK0363FL,slotervaart noord
WijkenEnBuurten,BU07840107,paarse strook
WijkenEnBuurten,BU07840107,bedrijventerrein broekakkers
WijkenEnBuurten,BU0363ET02,vondelparkbuurt west
WijkenEnBuurten,WK082403,heukelom
Wijken,WK082403,heukelom
WijkenEnBuurten,BU04411680,lagedijk
WijkenEnBuurten,WK162126,wijk 26 de wadden
Wijken,WK162126,wijk 26 de wadden
WijkenEnBuurten,BU07840112,buitengebied zuid rijen
WijkenEnBuurten,BU00181104,boswijck oost
WijkenEnBuurten,BU02360007,verspreide huizen oostzijde
WijkenEnBuurten,BU01501403,buitengebied lettele en okkenbroek
